trial.en-es.0	report	VERB	en	17	es	1	Any alterations which it is proposed to make as a result of this review are to be reported to the Interdepartmental Committee on Charter Repertory for its approval .	Se  informó  también  de  que  ,  según  la  historia  clínica  ,  la  muerte  de  Justiniano  Hurtado  Torre  se  debió  a  enfermedad  .
trial.en-es.1	report	VERB	en	17	es	2-3	Any alterations which it is proposed to make as a result of this review are to be reported to the Interdepartmental Committee on Charter Repertory for its approval .	Los  participantes  presentarán  informes  a  las  autoridades  competentes  de  sus  respectivos  países  .
trial.en-es.2	yet	ADV	en	19	es	37	The Group also pointed out that it had in its files a total of 378 cases that had not yet been clarified .	Se  observó  que  convenía  seguir  deliberando  sobre  esos  aspectos  y  otras  cuestiones  concretas  pues  contrariamente  a  lo  que  sucedía  en  otras  nuevas  esferas  de  la  tecnología  ,  como  la  manufactura  para  el  entorno  espacial  ,  cuyos  beneficios  aún  no  resultaban  evidentes  para  los  países  en  desarrollo  ,  la  teleobservación  era  indudablemente  un  instrumento  importante  para  esos  países  .
trial.en-es.3	yet	ADV	en	19	es	7-8-9	The Group also pointed out that it had in its files a total of 378 cases that had not yet been clarified .	Con  todo  ,  no  se  ha  establecido  hasta  el  momento  un  marco  jurídico  claro  para  determinar  cuáles  son  los  casos  individuales  que  se  pueden  examinar  en  el  plano  internacional  sin  el  consentimiento  del  Estado  interesado  (  a  la  luz  de  lo  expuesto  supra  )  .
trial.en-es.4	receive	VERB	en	14	es	2	In the circumstances , the Committee finds that such medical attention as the author received while on death row did not violate articles 7 or 10 , paragraph 1 .	Las  informaciones  recibidas  indicaban  también  que  Sernovodsk  estaba  completamente  bloqueada  ,  lo  que  impedía  huir  a  las  14.000  personas  que  se  encontraban  en  la  ciudad  ,  entre  las  cuales  había  muchas  personas  desplazadas  de  otras  partes  de  Chechenia  .
trial.en-es.5	receive	VERB	en	14	es	27	In the circumstances , the Committee finds that such medical attention as the author received while on death row did not violate articles 7 or 10 , paragraph 1 .	El  73%  de  los  becarios  de  la  UNU  que  participaron  en  actividades  de  capacitación  en  1995  lo  hicieron  en  instituciones  de  países  en  desarrollo  y  el  27%  recibió  capacitación  en  instituciones  de  países  industrializados  .
trial.en-es.6	sixth	NOUN	en	13	es	25-26	Of the costs apportioned to administrative operations , one third ( or one sixth of the total ) is borne by the United Nations .	Esta  afirmación  sólo  es  válida  respecto  del  consumo  de  cocaína  y  heroína  que  ,  según  las  propias  estimaciones  del  PNUFID  no  representan  más  de  la  sexta  parte  de  los  casos  de  uso  indebido  de  drogas  .
trial.en-es.7	sixth	NOUN	en	13	es	11	Of the costs apportioned to administrative operations , one third ( or one sixth of the total ) is borne by the United Nations .	A  la  industria  alimentaria  se  aplica  en  los  Estados  Unidos  un  sexto  de  todas  las  crestas  arancelarias  ,  que  en  su  mayoría  se  mueve  también  en  la  gama  de  12  a  100%  .
trial.en-es.8	article	NOUN	en	24	es	10	Article 6 should be made as strong as possible , and it was necessary to look into other instruments in order to bring this article into line with them .	Observó  que  Chipre  había  hecho  la  declaración  prevista  en  el  artículo  14  de  la  Convención  y  estaba  considerando  la  posibilidad  de  ratificar  la  enmienda  al  párrafo  6  del  artículo  8  .
trial.en-es.9	article	NOUN	en	24	es	1	Article 6 should be made as strong as possible , and it was necessary to look into other instruments in order to bring this article into line with them .	El  artículo  23  constituiría  una  buena  protección  contra  cambios  por  gobiernos  y  cambios  de  ideologías  .
