trial.en-ru.0	report	VERB	en	17	ru	2	Any alterations which it is proposed to make as a result of this review are to be reported to the Interdepartmental Committee on Charter Repertory for its approval .	Ему  также  сообщили  ,  что  ,  согласно  истории  болезни  ,  смерть  Хустиниано  Уртадо  Торре  наступила  в  результате  болезни  .
trial.en-ru.1	report	VERB	en	17	ru	1	Any alterations which it is proposed to make as a result of this review are to be reported to the Interdepartmental Committee on Charter Repertory for its approval .	Участники  представят  отчеты  соответствующим  органам  в  своих  странах  .
trial.en-ru.2	yet	ADV	en	19	ru	21	The Group also pointed out that it had in its files a total of 378 cases that had not yet been clarified .	Группа  также  сообщила  ,  что  на  данный  момент  в  ее  файлах  содержится  информация  в  общей  сложности  о  378  случаях  ,  которые  до  сих  пор  не  выяснены  .
trial.en-ru.3	yet	ADV	en	19	ru	36	The Group also pointed out that it had in its files a total of 378 cases that had not yet been clarified .	Было  указано  на  необходимость  продолжить  обсуждение  этих  вопросов  и  других  отдельных  тем  ,  поскольку  в  отличие  от  других  новых  технологий  ,  таких  ,  как  производство  материалов  в  условиях  невесомости  ,  выгода  от  которых  для  развивающихся  стран  пока  не  очевидна  ,  технология  дистанционного  зондирования  ,  несомненно  ,  имеет  для  таких  стран  важное  значение  .
trial.en-ru.4	receive	VERB	en	14	ru	11	In the circumstances , the Committee finds that such medical attention as the author received while on death row did not violate articles 7 or 10 , paragraph 1 .	С  учетом  этих  обстоятельств  Комитет  устанавливает  ,  что  медицинские  услуги  ,  обеспеченные  автору  в  период  его  содержания  в  камере  смертников  ,  не  свидетельствуют  о  нарушении  положений  статьи  7  или  пункта  1  статьи  10  .
trial.en-ru.5	receive	VERB	en	14	ru	1	In the circumstances , the Committee finds that such medical attention as the author received while on death row did not violate articles 7 or 10 , paragraph 1 .	В  полученных  сообщениях  также  отмечается  ,  что  Серноводск  был  полностью  блокирован  и  находящиеся  в  городе  14 000  человек  ,  в  том  числе  многие  лица  ,  перемещенные  из  других  районов  Чечни  ,  не  могли  покинуть  город  .
trial.en-ru.6	sixth	NOUN	en	12-13	ru	21-22	Of the costs apportioned to administrative operations , one third ( or one sixth of the total ) is borne by the United Nations .	Это  утверждение  касается  только  употребления  кокаина  и  героина  ,  на  долю  которого  приходится  ,  по  собственным  оценкам  ЮНДКП  ,  не  более  одной  шестой  части  случаев  наркомании  .
trial.en-ru.7	sixth	NOUN	en	12-13	ru	4-5	Of the costs apportioned to administrative operations , one third ( or one sixth of the total ) is borne by the United Nations .	На  пищевую  промышленность  приходится  одна  шестая  всех  пиковых  тарифов  в  США  ,  размер  которых  в  основном  также  составляет  12  -  100  %  .
trial.en-ru.8	article	NOUN	en	24	ru	8	Article 6 should be made as strong as possible , and it was necessary to look into other instruments in order to bring this article into line with them .	Он  отметил  ,  что  Кипр  сделал  заявление  по  статье  14  Конвенции  и  рассматривает  возможность  ратификации  поправки  к  пункту  6  статьи  8.
trial.en-ru.9	article	NOUN	en	24	ru	0	Article 6 should be made as strong as possible , and it was necessary to look into other instruments in order to bring this article into line with them .	Статья  23  могла  бы  играть  роль  эффективного  средства  защиты  на  случай  смены  правительства  или  идеологической  ориентации  .
