trial.zh-zh.0	程序	NOUN	zh	31	zh	13	该 项目 也 设法 设计 一 个 算法 , 把 用同 步线 路 组写 成 的 规格 转变 成 为 要 证明 的 一 套 原理 ,从 中 可以 提取 电脑 程序 , 在 自动 机 、 大地 测 量 和 空中 勘查 领域 里 提供 令 人感 兴趣 的 应用 。	特别 报告 员 请 该国 政府 就 审判 程序 以及 司法 方面 的 进 一 步 动态 向 他 提供 补充 资料 。
trial.zh-zh.1	程序	NOUN	zh	31	zh	13	该 项目 也 设法 设计 一 个 算法 , 把 用同 步线 路 组写 成 的 规格 转变 成 为 要 证明 的 一 套 原理 ,从 中 可以 提取 电脑 程序 , 在 自动 机 、 大地 测 量 和 空中 勘查 领域 里 提供 令 人感 兴趣 的 应用 。	缔约 国 指出, 在 罗斯基勒 法院 和 高级 法院 东分 部 的 诉讼 程序 中 ,根本 没有 注意 到 这 一 因素 。
trial.zh-zh.2	动机	NOUN	zh	13	zh	30	律师 提出 ,因 此 ,法院 不 知道 死者 袭击 提交 人 的 可能 动机 。	律师 还 指出 ， 被 告衣 服上 未 发现 任何 血迹 ， 而且 死者 与 被 告始 终 保持 着 良好 的 关系 ， 因 此 被 靠 没有 谋害 动机 。
trial.zh-zh.3	动机	NOUN	zh	13	zh	14	律师 提出 ,因 此 ,法院 不 知道 死者 袭击 提交 人 的 可能 动机 。	第63 条 规定 了 具有 "民 族 、 种族 或 宗教 仇恨 或 敌意 动机 " 犯罪 情节 加重 这 一 一般 规则 。
trial.zh-zh.4	反对	VERB	zh	8	zh	7	最后 ， 他 的 代表 团 呼吁 巩固 反对 种族 主义 和 种族 歧视 斗争 已 取得 的 成果 ， 面对 危害 世界 各国 和谐 、 和平 和 安全 的 种族 主义 和 种族 歧视 的 新 的 表现 形式 大 家应 保持 警惕 。	然而 ， 即 便 那些 最 坚决 反对 儿童 性 剥削 和 装备 最好 的 国家 ， 也 可能 由于 任务 的 巨大 而 失去 信心 ， 或去 寻求 根本 不 存在 的 不可 思议 的 公式 。
trial.zh-zh.5	反对	VERB	zh	8	zh	38	最后 ， 他 的 代表 团 呼吁 巩固 反对 种族 主义 和 种族 歧视 斗争 已 取得 的 成果 ， 面对 危害 世界 各国 和谐 、 和平 和 安全 的 种族 主义 和 种族 歧视 的 新 的 表现 形式 大 家应 保持 警惕 。	红 十 字 和 红新 月 国际 联合 国 和 红十字 国际 委员 会 已经 实施 了 禁止 招募 18 岁 以下 士兵 及 帮助 儿童 士兵 重新 进入 平民 生活 的 行动 纲领 ， 也 开展 了 反对 地雷 的 运动 。
trial.zh-zh.6	隔离	VERB	zh	11	zh	22	由于 艾滋 病 孤儿 被 视 为 社会 耻辱 、 被 隔离 、 被 歧视 和 不能 获得 适当 照顾 ， 因 此 鲜会 接受 免疫 ， 更 容易 营养 不良 、 失学 ， 受 虐待 和 受 剥削 。	在 行经 期间 ， 妇女 被 隔离 在 外屋 ， 不能 进入 主屋 ， 也 不得 与 其它 人 混 在 一起 。
trial.zh-zh.7	隔离	VERB	zh	11	zh	22	由于 艾滋 病 孤儿 被 视 为 社会 耻辱 、 被 隔离 、 被 歧视 和 不能 获得 适当 照顾 ， 因 此 鲜会 接受 免疫 ， 更 容易 营养 不良 、 失学 ， 受 虐待 和 受 剥削 。	传统 贸易 和 运输 线 重开 产生 重要 副 作用 ， 给 经济 生活 注入 新 的 活力 和 使 被 战争 隔离 的 社区 与 外界 重新 联系 。
trial.zh-zh.8	形式	NOUN	zh	25	zh	25	通过 围绕 确定 的 轴转 动 该 模型 ， 便 可 选取 出天 线 的 形式 ， 从而 取得 天线 系统 的 三 维 特征 形式 。	这 种 合作 的 形式 是 训研 所 参与 联合 国 工作 人员 大学 课程 研订 讨论 会 并 共同 发展 联合 国 工作 人员 大学 模式 供 联合 国 预防 和 解决 冲突 的 外地 活动 参考 。
trial.zh-zh.9	形式	NOUN	zh	25	zh	25	通过 围绕 确定 的 轴转 动 该 模型 ， 便 可 选取 出天 线 的 形式 ， 从而 取得 天线 系统 的 三 维 特征 形式 。	哥伦比亚 还 接受 了 负责 审查 种族 主义 现代 表现 形式 、 种族 歧视 、 仇外 心理 及 与 不 容忍 现象 有关 的 各种 形式 的 特别 报告 员 的 访问 。
trial.zh-zh.10	更大的	ADJ	zh	21-22	zh	31-32	多数 的 星系 会 组织 成 更大 的 集团 ， 成 为 星系 群 或团 ， 它们 又 会 聚集 成 更大 的 超星 系团 。	1970 年 根据 各种 法律 建立 了 其它 的 15 个 政区 ， 它们 的 主要 功能 是 将州 政府 机构 的 权力 下放 ， 并且 最近 行政 机关 已经 把 更大 的 权力 移交 到 政区 。
trial.zh-zh.11	更大的	ADJ	zh	21-22	zh	36-37	多数 的 星系 会 组织 成 更大 的 集团 ， 成 为 星系 群 或团 ， 它们 又 会 聚集 成 更大 的 超星 系团 。	自 1999 年 颁布 了 关于 地方 政府 的 1999 年 第22 号 法 开始 （ 该 法令 由 2004 年 第32 号 法令 再次 修订 ） ， 现在 地方 政府 在 管理 地区 方面 拥有 更大 的 权限 。
trial.zh-zh.12	居高临下的	ADJ	zh	39-40	zh	15-16	而 达内 兄弟 带 着 没有 偏见 的 镜头 ， 诚恳 写 实地 纪录 下 这 个 过程 中 人们 的 喜怒 哀乐 ， 他们 的 反应 可能 是 温情 、 无奈 甚至 无情 ， 影片 却 没有 任何 居高临下 的 道德 绑 架来 做出 审判 。	塞哥维亚 城堡 坐落 在 古城 西端 高出 河谷 80多 米 的 山岗 上 ， 有 居高临下 的 气势 。
trial.zh-zh.13	居高临下的	ADJ	zh	39-40	zh	5-6	而 达内 兄弟 带 着 没有 偏见 的 镜头 ， 诚恳 写 实地 纪录 下 这 个 过程 中 人们 的 喜怒 哀乐 ， 他们 的 反应 可能 是 温情 、 无奈 甚至 无情 ， 影片 却 没有 任何 居高临下 的 道德 绑 架来 做出 审判 。	随后 ， 在 威远 城 居高临下 的 火力 支援 下 ， 英 军 开始 从县 城东 城墙 的 两 处 地点 开始 攻城 。
trial.zh-zh.14	凝结	VERB	zh	12	zh	6	空气 中 相对 湿度 超过 100% 时 ， 水 蒸气 一般 会 凝结 成水 出来 。	大气 层 中 的 水 蒸气 凝结 成 小 水珠 ， 大量 的 小 水珠 形成 了 云 。
trial.zh-zh.15	凝结	VERB	zh	12	zh	19	空气 中 相对 湿度 超过 100% 时 ， 水 蒸气 一般 会 凝结 成水 出来 。	偶尔 （ 或 在 实验 室 中人 工造 成 的 ） 水 蒸气 可以 在 露点 以下 也 不 凝结 。
trial.zh-zh.16	纤细的	ADJ	zh	19-20	zh	7-8	欧拉 陨坑 带 有 一 圈 低矮 的 坑壁 ， 不 规则 的 内侧 坡 上 分布 有 一些 纤细 的 阶地 结构 和 坍塌 地貌 。	坑内 地表 上 仅 散布 着 一些 纤细 的 小坑 ， 靠 东南 偏南 坐落 着 一 座 醒目 的 碗状 小 陨坑 。
trial.zh-zh.17	纤细的	ADJ	zh	19-20	zh	13-14	欧拉 陨坑 带 有 一 圈 低矮 的 坑壁 ， 不 规则 的 内侧 坡 上 分布 有 一些 纤细 的 阶地 结构 和 坍塌 地貌 。	山丘 环内 ， 主要 集中 在 西北 部 ， 绵延 着 一 系列 纤细 的 沟系 ， 沿月 溪区 分布 有 四 处 直径 约 6 - 12 公里 的 黑火 山碎 屑堆 。
trial.zh-zh.18	衰弱	VERB	zh	20	zh	29	午有 逆 向 而 下 之 意 ， 因 此 亦 指 草木 的 增长 超过 极限 ， 开始 显出 衰弱 的 兆头 。	但 1856 年 部下 韦 昌辉 与 杨 秀清 发生 内讧 ， 即 天京 之 变 ， 情势 转衰 ， 1857 年 石达 开离 去 ， 太平 军 逐渐 衰弱 ， 1864 年 湘 军 在 天京 围城 ， 洪 秀全 困守 其中 ， 以 野草 充饥 ， 最后 病逝 ， 太平 天国 也 旋即 灭亡 。
trial.zh-zh.19	衰弱	VERB	zh	20	zh	7	午有 逆 向 而 下 之 意 ， 因 此 亦 指 草木 的 增长 超过 极限 ， 开始 显出 衰弱 的 兆头 。	在 日本 ， 镰 仓幕 府 逐渐 衰弱 。
